Jawaban,Produk,Fitur,Bahan
"[4, 3, 2, 4, 4, 1, 2, 3, 1, 2, 2, 4, 1, 1]","Sunscreen, Moisturizer","Balancing, Balanced","Allantoin, Panthenol, Niacinamide, Ceramide"
"[2, 2, 1, 1, 1, 4, 1, 1, 1, 2, 4, 3, 3, 2]","Sunscreen, Calming Mask","Pore Care, Hydrating","Niacinamide, Salicylic Acid, Glycerin, Panthenol"
"[2, 1, 3, 4, 1, 4, 3, 1, 2, 2, 4, 1, 1, 3]","Cleanser, Serum","Calming, Pore Care","Niacinamide, Cica, Salicylic Acid, Panthenol"
"[1, 4, 3, 3, 3, 3, 3, 1, 2, 4, 2, 1, 3, 2]","Sunscreen, Serum","Protective, Hydrating","Niacinamide, Allantoin, Salicylic Acid, Ceramide"
"[4, 3, 1, 4, 1, 3, 1, 3, 2, 3, 2, 3, 2, 4]","Sunscreen, Serum","Balancing, Balanced","Panthenol, Allantoin, Niacinamide, Glycol"
"[4, 2, 2, 2, 4, 4, 3, 3, 2, 2, 4, 1, 1, 2]","Cleanser, Booster","Balancing, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[2, 4, 4, 3, 3, 4, 2, 1, 1, 3, 3, 3, 4, 2]","Sunscreen, Cleanser","Pore Care, Minimal Care","Niacinamide, Allantoin, Salicylic Acid, Water"
"[2, 1, 2, 1, 2, 2, 3, 2, 4, 2, 2, 2, 2, 4]","Serum, Sunscreen","Soothing, Pore Care","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[4, 2, 1, 3, 3, 1, 1, 2, 3, 4, 3, 2, 2, 2]","Sunscreen, Serum","Balancing, Pore Care","Panthenol, Allantoin, Salicylic Acid, Water"
"[3, 2, 3, 4, 3, 4, 2, 3, 1, 2, 2, 4, 1, 2]","Sunscreen, Essence","Protective, Balanced Hydration","Allantoin, Niacinamide, Salicylic Acid, Cica"
"[2, 2, 2, 1, 1, 2, 2, 2, 1, 4, 1, 4, 4, 1]","Sunscreen, Cleanser","Hydrating, Pore Care","Salicylic Acid, Niacinamide, Glycerin, Panthenol"
"[1, 2, 4, 2, 3, 2, 2, 1, 1, 3, 3, 3, 4, 1]","Sunscreen, Moisturizer","Hydrating, Oil Control","Niacinamide, Salicylic Acid, Glycerin, Ceramide"
"[2, 4, 1, 1, 1, 1, 4, 2, 3, 2, 3, 2, 1, 4]","Sunscreen, Serum","Pore Care, Calming","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[2, 2, 2, 4, 4, 3, 2, 1, 3, 2, 1, 3, 3, 2]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[4, 4, 2, 1, 2, 1, 3, 2, 3, 3, 4, 1, 1, 1]","Serum, Sunscreen","Balancing, Acne Free","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[2, 2, 1, 2, 1, 4, 2, 2, 3, 2, 1, 4, 1, 1]","Cleanser, Sunscreen","Pore Care, Acne Free","Salicylic Acid, Niacinamide, Cica, Allantoin"
"[2, 4, 3, 4, 4, 1, 2, 2, 3, 3, 4, 1, 3, 3]","Serum, Sunscreen","Pore Care, Balancing","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[3, 2, 3, 4, 3, 1, 2, 4, 3, 2, 3, 1, 3, 2]","Sunscreen, Serum","Balanced Hydration, Protective","Niacinamide, Allantoin, Salicylic Acid, Water"
"[2, 1, 2, 4, 2, 1, 4, 4, 3, 1, 4, 3, 4, 4]","Serum, Sunscreen","Balancing, Custom Care","Panthenol, Niacinamide, Allantoin, Ceramide"
"[2, 2, 1, 2, 1, 4, 2, 2, 2, 4, 3, 1, 3, 1]","Cleanser, Sunscreen","Acne Free, Pore Care","Salicylic Acid, Niacinamide, Panthenol, Cica"
"[1, 2, 3, 1, 2, 3, 3, 2, 2, 1, 1, 3, 2, 2]","Serum, Sunscreen","Hydrating, Soothing","Panthenol, Glycerin, Ceramide, Salicylic Acid"
"[1, 3, 1, 1, 3, 1, 1, 1, 3, 2, 1, 1, 3, 3]","Sunscreen, Moisturizer","Protective, Hydrating","Niacinamide, Glycerin, Allantoin, Salicylic Acid"
"[1, 2, 2, 1, 1, 1, 3, 2, 3, 1, 4, 4, 3, 1]","Sunscreen, Serum","Hydrating, UV Protection","Allantoin, Glycerin, Ceramide, Panthenol"
"[3, 1, 3, 4, 2, 1, 4, 1, 1, 2, 2, 1, 3, 4]","Serum, Sunscreen","Balancing, Soothing","Allantoin, Niacinamide, Panthenol, Water"
"[1, 4, 3, 1, 3, 4, 3, 3, 4, 3, 3, 2, 1, 2]","Sunscreen, Serum","Hydrating, Acne Prevention","Niacinamide, Allantoin, Cica, Panthenol"
"[3, 4, 1, 4, 3, 1, 1, 3, 4, 4, 4, 1, 2, 4]","Sunscreen, Serum","Balancing, Acne Free","Niacinamide, Panthenol, Water, Allantoin"
"[1, 2, 3, 3, 1, 1, 3, 2, 1, 2, 2, 4, 2, 2]","Sunscreen, Serum","Hydrating, Balancing","Allantoin, Glycerin, Ceramide, Cica"
"[4, 3, 4, 4, 3, 3, 2, 2, 1, 1, 3, 3, 4, 3]","Sunscreen, Serum","Balanced, Protective","Niacinamide, Panthenol, Allantoin, Ceramide"
"[1, 1, 4, 3, 3, 3, 3, 4, 4, 1, 3, 2, 4, 1]","Sunscreen, Moisturizer","Hydrating, Protective","Allantoin, Ceramide, Niacinamide, Glycerin"
"[3, 3, 2, 4, 1, 1, 1, 3, 3, 1, 3, 3, 4, 2]","Sunscreen, Moisturizer","Balanced, Balanced Hydration","Allantoin, Niacinamide, Water, Bakuchiol"
"[3, 1, 3, 2, 1, 2, 3, 2, 1, 3, 3, 2, 3, 3]","Sunscreen, Serum","Acne Prevention, Oil Control","Niacinamide, Allantoin, Cica, Panthenol"
"[1, 4, 4, 4, 3, 2, 4, 2, 1, 2, 4, 1, 2, 3]","Sunscreen, Booster","Balancing, Protective","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[2, 1, 1, 1, 3, 4, 4, 3, 4, 1, 4, 2, 1, 4]","Sunscreen, Booster","Pore Care, Custom Care","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[4, 3, 3, 3, 1, 4, 3, 4, 1, 4, 4, 2, 1, 2]","Serum, Booster","Balancing, Acne Prevention","Panthenol, Allantoin, Cica, Glycol"
"[1, 3, 3, 4, 3, 3, 3, 1, 2, 3, 4, 4, 3, 2]","Sunscreen, Serum","Protective, Balanced","Allantoin, Ceramide, Niacinamide, Cica"
"[4, 2, 1, 2, 3, 3, 1, 1, 4, 2, 3, 2, 3, 3]","Sunscreen, Serum","Protective, Balanced","Niacinamide, Salicylic Acid, Panthenol, Cica"
"[1, 3, 1, 1, 3, 4, 1, 2, 1, 3, 1, 1, 2, 4]","Moisturizer, Sunscreen","Hydrating, Acne Free","Panthenol, Glycerin, Ceramide, Allantoin"
"[1, 1, 3, 3, 1, 4, 2, 2, 3, 3, 2, 3, 4, 2]","Sunscreen, Serum","Custom Care, Soothing","Allantoin, Niacinamide, Cica, Panthenol"
"[3, 4, 3, 1, 2, 2, 1, 2, 3, 4, 1, 1, 2, 4]","Serum, Essence","Soothing, Balancing","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[3, 2, 3, 2, 1, 2, 2, 1, 1, 1, 1, 3, 4, 1]","Sunscreen, Calming Mask","Oil Control, Calming","Allantoin, Cica, Salicylic Acid, Niacinamide"
"[3, 2, 2, 1, 3, 2, 2, 4, 4, 2, 4, 2, 3, 3]","Sunscreen, Spot Treatment","Protective, Acne Free","Niacinamide, Panthenol, Water, Allantoin"
"[3, 1, 1, 1, 2, 4, 4, 2, 1, 1, 2, 3, 4, 2]","Sunscreen, Essence","Soothing, Balanced Hydration","Allantoin, Panthenol, Niacinamide, Glycerin"
"[1, 4, 2, 1, 1, 2, 3, 4, 3, 4, 4, 3, 1, 3]","Sunscreen, Calming Mask","Hydrating, Calming","Niacinamide, Panthenol, Glycerin, Ceramide"
"[2, 2, 1, 1, 4, 3, 2, 4, 4, 1, 1, 2, 1, 1]","Sunscreen, Cleanser","Pore Care, Acne Free","Panthenol, Salicylic Acid, Allantoin, Cica"
"[2, 1, 4, 4, 2, 2, 1, 4, 2, 3, 4, 4, 4, 2]","Sunscreen, Cleanser","Pore Care, Balancing","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[3, 3, 1, 1, 3, 2, 1, 2, 4, 3, 1, 2, 1, 1]","Sunscreen, Moisturizer","Hydrating, Balanced Hydration","Allantoin, Panthenol, Glycerin, Cica"
"[2, 1, 4, 1, 1, 1, 2, 2, 2, 1, 4, 2, 3, 4]","Cleanser, Sunscreen","Pore Care, UV Protection","Panthenol, Salicylic Acid, Niacinamide, Allantoin"
"[4, 1, 1, 1, 3, 3, 3, 1, 1, 1, 4, 3, 2, 2]","Sunscreen, Serum","Balancing, Hydrating","Panthenol, Niacinamide, Ceramide, Allantoin"
"[3, 2, 1, 3, 3, 1, 3, 4, 1, 1, 3, 1, 4, 4]","Sunscreen, Serum","Acne Free, Balancing","Allantoin, Water, Salicylic Acid, Niacinamide"
"[2, 1, 4, 1, 1, 3, 3, 2, 2, 2, 1, 2, 2, 1]","Cleanser, Toner","Pore Care, Hydrating","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[2, 4, 2, 1, 4, 2, 2, 2, 2, 4, 4, 2, 3, 3]","Cleanser, Sunscreen","Pore Care, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Glycerin"
"[4, 3, 2, 4, 2, 2, 3, 1, 2, 2, 2, 4, 2, 4]","Serum, Sunscreen","Balancing, Soothing","Panthenol, Allantoin, Niacinamide, Glycol"
"[3, 4, 1, 2, 1, 1, 3, 1, 4, 4, 4, 3, 3, 1]","Sunscreen, Calming Mask","Calming, UV Protection","Allantoin, Niacinamide, Water, Salicylic Acid"
"[2, 1, 3, 4, 4, 2, 2, 1, 1, 2, 3, 4, 3, 4]","Sunscreen, Serum","Pore Care, Balancing","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[1, 4, 2, 1, 4, 3, 2, 4, 2, 3, 3, 1, 4, 1]","Cleanser, Sunscreen","Hydrating, Acne Free","Niacinamide, Salicylic Acid, Glycerin, Ceramide"
"[4, 3, 1, 1, 2, 3, 4, 4, 4, 3, 3, 3, 3, 2]","Sunscreen, Serum","Balanced, Custom Care","Panthenol, Allantoin, Niacinamide, Glycol"
"[4, 3, 2, 2, 2, 3, 1, 2, 4, 1, 2, 2, 4, 3]","Sunscreen, Serum","Soothing, Protective","Allantoin, Panthenol, Niacinamide, Aloe Vera"
"[2, 4, 1, 2, 3, 4, 4, 1, 2, 4, 1, 3, 2, 1]","Cleanser, Sunscreen","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Cica"
"[4, 2, 4, 3, 2, 3, 3, 2, 2, 3, 4, 3, 3, 2]","Sunscreen, Serum","Balancing, Soothing","Panthenol, Salicylic Acid, Allantoin, Niacinamide"
"[3, 1, 2, 3, 2, 2, 4, 1, 1, 3, 3, 2, 3, 4]","Sunscreen, Toner","Balancing, Balanced","Niacinamide, Allantoin, Panthenol, Water"
"[1, 4, 1, 2, 3, 3, 3, 3, 1, 1, 4, 2, 1, 1]","Sunscreen, Moisturizer","Hydrating, Protective","Ceramide, Niacinamide, Glycerin, Salicylic Acid"
"[1, 4, 2, 4, 3, 1, 1, 1, 1, 2, 2, 1, 4, 3]","Sunscreen, Moisturizer","Protective, Hydrating","Niacinamide, Allantoin, Glycerin, Ceramide"
"[2, 1, 2, 2, 4, 4, 1, 4, 2, 3, 3, 2, 1, 1]","Cleanser, Booster","Custom Care, Pore Care","Niacinamide, Panthenol, Salicylic Acid, Glycerin"
"[4, 1, 3, 2, 4, 1, 2, 1, 1, 4, 1, 2, 4, 2]","Sunscreen, Serum","Acne Prevention, Balancing","Panthenol, Cica, Allantoin, Niacinamide"
"[4, 2, 4, 2, 2, 3, 2, 1, 1, 1, 3, 2, 4, 4]","Serum, Sunscreen","Balancing, Pore Care","Panthenol, Salicylic Acid, Allantoin, Glycol"
"[2, 2, 3, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 3]","Sunscreen, Cleanser","UV Protection, Pore Care","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[2, 4, 4, 2, 2, 2, 3, 4, 2, 1, 3, 2, 2, 3]","Sunscreen, Cleanser","Oil Control, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Retinol"
"[2, 3, 1, 1, 2, 2, 3, 3, 1, 4, 2, 3, 2, 4]","Sunscreen, Serum","Balanced, Hydrating","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[2, 1, 4, 4, 1, 1, 4, 1, 3, 2, 1, 1, 2, 3]","Calming Mask, Sunscreen","Pore Care, Balancing","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[3, 2, 2, 3, 2, 3, 1, 2, 1, 2, 2, 1, 4, 3]","Sunscreen, Essence","Soothing, Protective","Allantoin, Niacinamide, Water, Salicylic Acid"
"[2, 3, 4, 3, 1, 4, 1, 2, 4, 4, 3, 1, 2, 3]","Sunscreen, Cleanser","Balanced, Balancing","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[1, 1, 3, 4, 3, 4, 3, 3, 3, 3, 1, 2, 1, 1]","Serum, Sunscreen","Hydrating, Acne Prevention","Cica, Panthenol, Ceramide, Niacinamide"
"[2, 3, 3, 3, 2, 4, 3, 3, 2, 4, 3, 2, 1, 4]","Serum, Sunscreen","Balanced, Acne Prevention","Niacinamide, Panthenol, Allantoin, Cica"
"[2, 1, 2, 3, 3, 2, 3, 1, 1, 1, 4, 1, 3, 2]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Allantoin, Salicylic Acid, Ceramide"
"[4, 2, 2, 2, 3, 3, 4, 4, 2, 1, 3, 4, 3, 3]","Sunscreen, Spot Treatment","Protective, Oil Control","Niacinamide, Panthenol, Salicylic Acid, Glycol"
"[3, 3, 2, 2, 3, 4, 4, 1, 2, 1, 1, 4, 1, 4]","Sunscreen, Calming Mask","Oil Control, Protective","Allantoin, Niacinamide, Panthenol, Cica"
"[3, 2, 4, 1, 4, 1, 2, 3, 3, 3, 3, 4, 3, 3]","Sunscreen, Essence","Balanced, Custom Care","Allantoin, Niacinamide, Salicylic Acid, Water"
"[4, 1, 4, 2, 2, 3, 3, 3, 1, 2, 4, 3, 2, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[1, 3, 1, 3, 1, 2, 3, 1, 2, 4, 3, 2, 1, 2]","Sunscreen, Calming Mask","Calming, Balanced","Allantoin, Cica, Niacinamide, Salicylic Acid"
"[2, 4, 3, 3, 1, 2, 2, 4, 2, 1, 4, 3, 4, 2]","Sunscreen, Cleanser","Pore Care, Balancing","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[2, 1, 3, 4, 4, 2, 2, 3, 1, 1, 1, 2, 1, 4]","Serum, Sunscreen","Pore Care, Acne Prevention","Panthenol, Niacinamide, Cica, Salicylic Acid"
"[3, 3, 2, 4, 1, 2, 2, 1, 1, 3, 3, 2, 3, 1]","Sunscreen, Moisturizer","Balanced, Acne Free","Allantoin, Niacinamide, Ceramide, Cica"
"[1, 2, 2, 2, 1, 1, 4, 3, 4, 1, 3, 4, 4, 4]","Sunscreen, Spot Treatment","UV Protection, Balanced","Allantoin, Niacinamide, Salicylic Acid, Water"
"[4, 3, 1, 4, 3, 3, 4, 2, 3, 4, 4, 3, 4, 1]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Ceramide, Allantoin, Niacinamide"
"[4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 2, 2]","Booster, Serum","Custom Care, Balancing","Panthenol, Glycol, Niacinamide, Allantoin"
"[4, 1, 1, 4, 1, 1, 2, 3, 1, 2, 2, 4, 2, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[3, 2, 1, 1, 2, 4, 4, 4, 4, 2, 3, 3, 3, 3]","Sunscreen, Booster","Custom Care, Balanced","Panthenol, Niacinamide, Water, Allantoin"
"[4, 2, 1, 4, 3, 2, 2, 4, 3, 2, 2, 3, 2, 4]","Sunscreen, Serum","Balancing, Acne Free","Panthenol, Niacinamide, Glycol, Salicylic Acid"
"[3, 3, 1, 4, 3, 2, 1, 2, 1, 1, 4, 3, 1, 1]","Sunscreen, Moisturizer","Balanced, Balancing","Allantoin, Ceramide, Panthenol, Niacinamide"
"[3, 1, 2, 2, 2, 3, 3, 1, 2, 1, 1, 4, 1, 2]","Calming Mask, Sunscreen","Balanced Hydration, Oil Control","Allantoin, Niacinamide, Cica, Salicylic Acid"
"[3, 1, 4, 3, 2, 1, 2, 1, 2, 3, 1, 1, 2, 2]","Sunscreen, Cleanser","Balanced Hydration, Balancing","Allantoin, Salicylic Acid, Water, Niacinamide"
"[1, 3, 4, 2, 1, 2, 2, 2, 3, 1, 4, 4, 4, 3]","Sunscreen, Moisturizer","Oil Control, Protective","Allantoin, Salicylic Acid, Niacinamide, Ceramide"
"[3, 4, 2, 2, 2, 2, 4, 3, 1, 4, 2, 4, 1, 3]","Sunscreen, Essence","Oil Control, Soothing","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[2, 1, 1, 2, 3, 3, 3, 4, 4, 2, 1, 1, 1, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[3, 2, 1, 4, 3, 3, 4, 2, 4, 1, 3, 2, 1, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Allantoin, Panthenol, Water, Salicylic Acid"
"[4, 4, 2, 4, 3, 2, 1, 2, 4, 1, 2, 3, 2, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Panthenol, Allantoin, Aloe Vera"
"[3, 3, 3, 1, 3, 3, 3, 4, 1, 1, 1, 3, 1, 2]","Sunscreen, Essence","Balanced Hydration, Balanced","Allantoin, Cica, Panthenol, Glycerin"
"[2, 3, 4, 3, 2, 4, 4, 3, 2, 3, 2, 2, 4, 4]","Sunscreen, Cleanser","Balanced, Balancing","Allantoin, Panthenol, Salicylic Acid, Niacinamide"
"[4, 1, 1, 2, 1, 1, 3, 1, 3, 2, 2, 3, 4, 1]","Sunscreen, Serum","Calming, Balancing","Allantoin, Niacinamide, Salicylic Acid, Cica"
"[1, 4, 4, 1, 3, 2, 3, 2, 1, 2, 3, 2, 4, 2]","Sunscreen, Moisturizer","Hydrating, Protective","Niacinamide, Glycerin, Panthenol, Ceramide"
"[1, 4, 4, 1, 3, 3, 1, 4, 4, 2, 4, 4, 1, 3]","Sunscreen, Moisturizer","Protective, Hydrating","Niacinamide, Glycerin, Ceramide, Panthenol"
"[3, 2, 1, 4, 4, 2, 4, 4, 1, 2, 1, 1, 3, 1]","Sunscreen, Booster","Custom Care, Acne Free","Panthenol, Niacinamide, Salicylic Acid, Ceramide"
"[1, 1, 4, 4, 3, 4, 1, 1, 2, 3, 4, 1, 2, 1]","Moisturizer, Booster","Balancing, Hydrating","Ceramide, Niacinamide, Panthenol, Glycerin"
"[2, 3, 3, 2, 3, 3, 1, 1, 1, 2, 1, 4, 2, 1]","Moisturizer, Sunscreen","Protective, Hydrating","Niacinamide, Allantoin, Cica, Ceramide"
"[1, 1, 1, 3, 1, 2, 1, 4, 2, 2, 1, 2, 2, 1]","Sunscreen, Moisturizer","Hydrating, Balancing","Niacinamide, Panthenol, Glycerin, Cica"
"[4, 3, 1, 3, 1, 3, 2, 2, 4, 1, 3, 1, 4, 4]","Sunscreen, Serum","Balancing, Acne Free","Allantoin, Panthenol, Salicylic Acid, Glycol"
"[2, 1, 1, 3, 1, 1, 4, 3, 2, 3, 4, 2, 2, 3]","Sunscreen, Booster","Balancing, Pore Care","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[3, 4, 3, 3, 3, 4, 3, 1, 2, 1, 1, 2, 3, 1]","Sunscreen, Serum","Acne Prevention, Balanced Hydration","Allantoin, Niacinamide, Cica, Panthenol"
"[3, 1, 3, 3, 1, 2, 2, 1, 1, 3, 1, 4, 4, 4]","Sunscreen, Calming Mask","Balancing, Calming","Allantoin, Cica, Water, Niacinamide"
"[3, 4, 4, 2, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4]","Sunscreen, Mask","Oil Control, Calming","Allantoin, Niacinamide, Salicylic Acid, Water"
"[1, 2, 1, 1, 2, 3, 4, 2, 3, 1, 1, 3, 1, 2]","Sunscreen, Serum","Hydrating, Soothing","Panthenol, Allantoin, Glycerin, Ceramide"
"[4, 3, 4, 2, 4, 4, 2, 2, 4, 4, 2, 3, 2, 3]","Booster, Sunscreen","Balancing, Balanced","Panthenol, Allantoin, Salicylic Acid, Niacinamide"
"[4, 2, 2, 1, 4, 2, 2, 1, 4, 1, 3, 2, 4, 4]","Sunscreen, Serum","Balancing, Acne Free","Panthenol, Allantoin, Niacinamide, Glycol"
"[3, 4, 1, 1, 2, 2, 2, 1, 2, 2, 4, 1, 4, 3]","Sunscreen, Cleanser","Acne Free, Oil Control","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[4, 2, 1, 4, 2, 1, 4, 3, 4, 4, 3, 2, 4, 2]","Sunscreen, Serum","Balancing, UV Protection","Panthenol, Allantoin, Salicylic Acid, Water"
"[2, 1, 2, 4, 2, 4, 4, 3, 4, 2, 1, 1, 1, 2]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
