Jawaban,Produk,Fitur,Bahan
"[2, 1, 3, 4, 3, 2, 3, 2, 3, 4, 2, 4, 4, 1]","Serum, Sunscreen","Pore Care, Protective","Niacinamide, Allantoin, Ceramide, Panthenol"
"[3, 3, 4, 3, 4, 1, 2, 1, 2, 1, 1, 3, 3, 2]","Sunscreen, Cleanser","Balanced, Balanced Hydration","Allantoin, Water, Salicylic Acid, Niacinamide"
"[4, 2, 4, 3, 1, 1, 3, 3, 1, 2, 2, 4, 3, 1]","Sunscreen, Serum","Balancing, Balanced","Allantoin, Niacinamide, Salicylic Acid, Water"
"[3, 3, 1, 3, 4, 1, 3, 4, 2, 3, 2, 3, 3, 3]","Sunscreen, Essence","Balanced, Custom Care","Allantoin, Niacinamide, Water, Salicylic Acid"
"[4, 1, 4, 2, 3, 3, 3, 1, 1, 2, 3, 1, 4, 1]","Sunscreen, Serum","Protective, Hydrating","Niacinamide, Salicylic Acid, Ceramide, Allantoin"
"[1, 4, 4, 4, 2, 4, 3, 3, 3, 4, 1, 4, 2, 4]","Serum, Mask","Balancing, Custom Care","Panthenol, Ceramide, Niacinamide, Salicylic Acid"
"[3, 4, 2, 3, 3, 1, 4, 3, 1, 4, 2, 4, 3, 2]","Sunscreen, Essence","Balanced Hydration, Protective","Allantoin, Niacinamide, Water, Salicylic Acid"
"[4, 1, 1, 4, 1, 1, 1, 4, 3, 3, 4, 1, 2, 1]","Serum, Sunscreen","Balancing, Acne Free","Panthenol, Ceramide, Allantoin, Glycol"
"[4, 3, 4, 3, 1, 4, 1, 2, 3, 2, 1, 4, 2, 1]","Serum, Moisturizer","Balancing, Custom Care","Panthenol, Allantoin, Cica, Glycerin"
"[1, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 1, 4]","Sunscreen, Moisturizer","Balancing, Protective","Allantoin, Ceramide, Water, Niacinamide"
"[1, 3, 3, 2, 1, 3, 3, 2, 2, 4, 4, 4, 1, 3]","Serum, Moisturizer","Protective, Oil Control","Allantoin, Ceramide, Cica, Niacinamide"
"[3, 4, 3, 3, 1, 2, 3, 4, 1, 4, 1, 4, 1, 2]","Sunscreen, Calming Mask","Balanced Hydration, Calming","Allantoin, Cica, Water, Niacinamide"
"[1, 4, 1, 1, 3, 4, 2, 3, 4, 3, 2, 2, 4, 1]","Sunscreen, Moisturizer","Hydrating, Acne Free","Allantoin, Glycerin, Niacinamide, Salicylic Acid"
"[4, 1, 3, 2, 3, 4, 3, 3, 4, 4, 1, 1, 3, 1]","Sunscreen, Serum","Balanced, Balancing","Niacinamide, Panthenol, Cica, Salicylic Acid"
"[2, 1, 2, 3, 2, 4, 2, 4, 2, 1, 1, 2, 3, 3]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[2, 1, 1, 4, 4, 3, 4, 4, 1, 3, 3, 2, 4, 4]","Sunscreen, Booster","Custom Care, Pore Care","Panthenol, Niacinamide, Ceramide, Salicylic Acid"
"[3, 4, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 3]","Sunscreen, Essence","Acne Free, Hydrating","Allantoin, Niacinamide, Glycerin, Water"
"[3, 3, 3, 4, 1, 1, 4, 2, 1, 1, 3, 2, 1, 1]","Moisturizer, Serum","Balanced, Acne Prevention","Allantoin, Cica, Panthenol, Ceramide"
"[3, 1, 1, 3, 3, 4, 3, 2, 3, 3, 2, 2, 2, 4]","Sunscreen, Serum","Balancing, Custom Care","Panthenol, Allantoin, Water, Niacinamide"
"[4, 2, 2, 2, 4, 3, 4, 3, 4, 3, 2, 2, 3, 4]","Sunscreen, Serum","Balancing, Custom Care","Panthenol, Niacinamide, Allantoin, Glycol"
"[2, 4, 4, 3, 3, 2, 4, 3, 2, 1, 3, 1, 4, 1]","Sunscreen, Cleanser","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Allantoin, Water"
"[2, 3, 4, 2, 2, 3, 2, 2, 4, 4, 4, 2, 4, 3]","Cleanser, Sunscreen","Soothing, Protective","Salicylic Acid, Panthenol, Niacinamide, Allantoin"
"[1, 4, 4, 2, 1, 3, 2, 4, 2, 1, 3, 2, 4, 4]","Cleanser, Sunscreen","Oil Control, Hydrating","Salicylic Acid, Niacinamide, Allantoin, Panthenol"
"[4, 1, 2, 1, 3, 1, 3, 1, 1, 3, 1, 4, 4, 1]","Sunscreen, Serum","Hydrating, Protective","Allantoin, Panthenol, Niacinamide, Glycerin"
"[1, 4, 4, 2, 2, 3, 1, 1, 3, 1, 4, 1, 3, 1]","Moisturizer, Mask","Hydrating, Pore Care","Ceramide, Niacinamide, Salicylic Acid, Glycerin"
"[4, 2, 3, 3, 3, 4, 2, 3, 2, 2, 3, 1, 3, 4]","Sunscreen, Serum","Balancing, Balanced","Niacinamide, Salicylic Acid, Panthenol, Glycol"
"[2, 2, 3, 3, 1, 1, 2, 1, 2, 4, 1, 1, 3, 4]","Cleanser, Sunscreen","Pore Care, Balancing","Salicylic Acid, Niacinamide, Cica, Allantoin"
"[1, 4, 3, 2, 3, 4, 4, 2, 4, 2, 2, 3, 3, 3]","Sunscreen, Serum","Protective, Custom Care","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[4, 2, 3, 2, 2, 3, 2, 1, 1, 2, 2, 3, 4, 1]","Serum, Sunscreen","Soothing, Protective","Salicylic Acid, Niacinamide, Ceramide, Allantoin"
"[1, 2, 4, 2, 1, 2, 4, 4, 4, 4, 3, 2, 1, 4]","Sunscreen, Calming Mask","Oil Control, Calming","Panthenol, Salicylic Acid, Niacinamide, Cica"
"[2, 2, 2, 3, 2, 1, 4, 4, 2, 2, 3, 1, 3, 4]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Panthenol, Water"
"[2, 4, 4, 3, 2, 2, 3, 2, 4, 3, 2, 1, 4, 1]","Sunscreen, Serum","Soothing, Pore Care","Allantoin, Salicylic Acid, Niacinamide, Water"
"[2, 2, 1, 4, 4, 4, 4, 1, 3, 2, 2, 2, 3, 4]","Sunscreen, Serum","Custom Care, Pore Care","Panthenol, Salicylic Acid, Niacinamide, Cica"
"[2, 2, 4, 1, 1, 2, 1, 1, 3, 3, 2, 2, 4, 3]","Sunscreen, Calming Mask","Pore Care, Calming","Allantoin, Salicylic Acid, Niacinamide, Cica"
"[3, 1, 2, 4, 2, 4, 2, 3, 3, 2, 2, 2, 1, 4]","Serum, Essence","Acne Free, Balancing","Panthenol, Niacinamide, Allantoin, Cica"
"[4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 1, 2, 4]","Sunscreen, Booster","Balancing, Protective","Panthenol, Glycol, Niacinamide, Salicylic Acid"
"[4, 4, 4, 1, 3, 3, 2, 1, 1, 3, 4, 2, 4, 4]","Sunscreen, Serum","Balancing, Hydrating","Panthenol, Salicylic Acid, Ceramide, Allantoin"
"[1, 2, 2, 3, 1, 3, 1, 1, 4, 3, 3, 4, 4, 1]","Sunscreen, Moisturizer","Hydrating, Calming","Allantoin, Glycerin, Ceramide, Niacinamide"
"[3, 4, 2, 1, 1, 4, 2, 4, 2, 1, 4, 4, 1, 1]","Booster, Calming Mask","Acne Free, Hydrating","Allantoin, Panthenol, Niacinamide, Salicylic Acid"
"[4, 2, 2, 1, 1, 4, 4, 1, 2, 2, 4, 1, 2, 3]","Booster, Spot Treatment","Balancing, Acne Free","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[2, 2, 3, 2, 3, 4, 2, 2, 3, 4, 3, 1, 1, 4]","Cleanser, Serum","Pore Care, Custom Care","Salicylic Acid, Niacinamide, Panthenol, Cica"
"[2, 4, 2, 2, 4, 1, 3, 2, 4, 3, 2, 4, 3, 4]","Sunscreen, Serum","Pore Care, UV Protection","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[4, 2, 4, 3, 1, 4, 3, 3, 2, 1, 3, 1, 2, 1]","Sunscreen, Serum","Balancing, Balanced","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[1, 1, 1, 4, 2, 2, 2, 1, 3, 1, 4, 4, 1, 4]","Sunscreen, Serum","Balancing, Acne Free","Panthenol, Allantoin, Ceramide, Niacinamide"
"[2, 1, 1, 4, 1, 3, 4, 3, 3, 1, 4, 1, 4, 1]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Ceramide, Salicylic Acid, Panthenol"
"[4, 3, 2, 3, 1, 4, 1, 4, 4, 2, 3, 4, 1, 3]","Sunscreen, Moisturizer","Protective, Balancing","Allantoin, Niacinamide, Panthenol, Glycol"
"[3, 4, 4, 2, 4, 1, 4, 1, 2, 4, 4, 1, 2, 4]","Booster, Cleanser","Balancing, Oil Control","Salicylic Acid, Panthenol, Niacinamide, Allantoin"
"[3, 1, 4, 4, 2, 1, 1, 4, 2, 2, 4, 1, 3, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Panthenol, Salicylic Acid, Water"
"[2, 1, 1, 3, 3, 3, 2, 3, 2, 1, 3, 2, 1, 4]","Sunscreen, Cleanser","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Allantoin, Cica"
"[3, 4, 3, 2, 4, 1, 1, 4, 1, 1, 1, 4, 2, 2]","Sunscreen, Booster","Balanced Hydration, Custom Care","Allantoin, Panthenol, Water, Niacinamide"
"[3, 1, 1, 2, 2, 3, 3, 1, 2, 3, 1, 1, 1, 3]","Sunscreen, Cleanser","Acne Free, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[4, 2, 3, 2, 4, 2, 1, 2, 4, 2, 4, 1, 3, 3]","Sunscreen, Serum","Balancing, Oil Control","Niacinamide, Panthenol, Salicylic Acid, Glycol"
"[2, 4, 4, 4, 1, 3, 2, 4, 3, 3, 3, 1, 2, 2]","Cleanser, Sunscreen","Pore Care, Balancing","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[3, 1, 3, 1, 3, 3, 2, 1, 3, 3, 4, 2, 3, 2]","Sunscreen, Essence","Balanced Hydration, Acne Prevention","Allantoin, Niacinamide, Cica, Panthenol"
"[3, 2, 2, 3, 4, 2, 1, 3, 2, 4, 3, 1, 1, 2]","Sunscreen, Spot Treatment","Balanced Hydration, Acne Free","Niacinamide, Allantoin, Salicylic Acid, Water"
"[3, 4, 3, 2, 1, 1, 3, 1, 4, 1, 4, 3, 1, 4]","Sunscreen, Serum","Calming, UV Protection","Allantoin, Cica, Water, Niacinamide"
"[3, 4, 4, 3, 3, 4, 4, 1, 1, 4, 4, 4, 1, 1]","Sunscreen, Booster","Balancing, Protective","Allantoin, Panthenol, Ceramide, Water"
"[2, 1, 4, 2, 3, 1, 4, 2, 2, 4, 1, 1, 3, 2]","Cleanser, Sunscreen","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 2, 2, 2, 4, 2, 2, 2, 2, 1, 3, 4, 2, 2]","Sunscreen, Cleanser","Oil Control, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 3, 1, 4]","Sunscreen, Serum","Balancing, Hydrating","Panthenol, Allantoin, Cica, Glycol"
"[1, 2, 2, 3, 1, 4, 4, 2, 3, 1, 4, 3, 1, 2]","Sunscreen, Booster","Custom Care, Balancing","Allantoin, Panthenol, Ceramide, Niacinamide"
"[4, 1, 4, 1, 1, 1, 1, 3, 3, 1, 4, 2, 4, 1]","Sunscreen, Serum","Balancing, Hydrating","Panthenol, Allantoin, Glycerin, Niacinamide"
"[3, 4, 4, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 4]","Calming Mask, Serum","Calming, UV Protection","Allantoin, Salicylic Acid, Niacinamide, Cica"
"[3, 1, 3, 1, 4, 3, 3, 4, 2, 4, 4, 4, 1, 1]","Booster, Essence","Hydrating, Custom Care","Panthenol, Allantoin, Ceramide, Niacinamide"
"[1, 1, 3, 3, 2, 3, 2, 2, 4, 2, 4, 4, 2, 2]","Sunscreen, Serum","Balancing, Protective","Allantoin, Panthenol, Ceramide, Niacinamide"
"[1, 2, 1, 4, 4, 1, 4, 1, 2, 3, 3, 2, 4, 4]","Sunscreen, Serum","Balancing, Custom Care","Panthenol, Allantoin, Salicylic Acid, Ceramide"
"[1, 2, 1, 3, 1, 1, 4, 3, 3, 2, 4, 1, 3, 1]","Sunscreen, Moisturizer","Hydrating, Acne Free","Niacinamide, Ceramide, Salicylic Acid, Allantoin"
"[4, 3, 3, 2, 4, 1, 4, 3, 3, 2, 4, 2, 3, 4]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Niacinamide, Glycol, Allantoin"
"[3, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 1, 2]","Sunscreen, Essence","Balanced Hydration, Soothing","Allantoin, Niacinamide, Cica, Panthenol"
"[2, 1, 3, 2, 1, 1, 2, 2, 4, 4, 1, 3, 4, 1]","Sunscreen, Cleanser","Pore Care, UV Protection","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[4, 4, 3, 3, 3, 3, 4, 1, 1, 3, 2, 1, 2, 3]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[2, 4, 4, 1, 1, 1, 4, 4, 3, 3, 3, 4, 1, 2]","Sunscreen, Mask","Custom Care, Pore Care","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[2, 4, 1, 1, 3, 4, 3, 4, 4, 3, 2, 1, 4, 2]","Sunscreen, Cleanser","Pore Care, Acne Free","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[4, 2, 2, 1, 1, 3, 4, 3, 2, 3, 3, 2, 1, 3]","Sunscreen, Spot Treatment","Calming, Protective","Niacinamide, Panthenol, Cica, Allantoin"
"[4, 4, 3, 4, 4, 4, 3, 4, 4, 2, 4, 1, 4, 4]","Serum, Booster","Balancing, Custom Care","Panthenol, Glycol, Niacinamide, Salicylic Acid"
"[2, 2, 1, 2, 1, 2, 2, 1, 3, 1, 4, 4, 3, 3]","Sunscreen, Cleanser","Pore Care, Acne Free","Salicylic Acid, Niacinamide, Allantoin, Cica"
"[1, 1, 3, 4, 2, 2, 2, 4, 4, 2, 2, 4, 2, 1]","Sunscreen, Serum","Hydrating, Balancing","Panthenol, Ceramide, Niacinamide, Allantoin"
"[2, 4, 1, 4, 4, 3, 1, 4, 2, 2, 2, 2, 1, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[2, 4, 3, 1, 1, 2, 2, 1, 1, 1, 2, 4, 3, 3]","Sunscreen, Cleanser","Pore Care, Hydrating","Niacinamide, Allantoin, Salicylic Acid, Cica"
"[3, 4, 2, 4, 1, 2, 2, 3, 4, 2, 1, 4, 3, 2]","Sunscreen, Calming Mask","Balanced Hydration, Acne Free","Niacinamide, Allantoin, Water, Salicylic Acid"
"[1, 4, 1, 2, 1, 4, 2, 1, 2, 2, 2, 4, 3, 3]","Sunscreen, Cleanser","Protective, Acne Free","Niacinamide, Salicylic Acid, Allantoin, Cica"
"[2, 4, 1, 3, 4, 2, 1, 2, 4, 1, 1, 2, 3, 2]","Sunscreen, Cleanser","Pore Care, UV Protection","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[1, 2, 3, 2, 2, 2, 3, 1, 4, 2, 1, 3, 2, 4]","Serum, Sunscreen","Oil Control, Balancing","Niacinamide, Panthenol, Cica, Salicylic Acid"
"[3, 2, 4, 3, 3, 4, 4, 1, 4, 4, 2, 4, 3, 1]","Sunscreen, Essence","Protective, Custom Care","Allantoin, Water, Salicylic Acid, Niacinamide"
"[2, 2, 1, 3, 4, 4, 3, 2, 1, 4, 1, 3, 2, 2]","Sunscreen, Booster","Pore Care, Balancing","Panthenol, Salicylic Acid, Niacinamide, Allantoin"
"[2, 1, 1, 4, 2, 1, 4, 4, 4, 2, 1, 4, 4, 3]","Sunscreen, Serum","Protective, Pore Care","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[1, 3, 2, 3, 3, 1, 4, 3, 3, 3, 2, 1, 3, 4]","Sunscreen, Moisturizer","Balanced, Acne Free","Allantoin, Niacinamide, Water, Panthenol"
"[4, 2, 4, 3, 4, 2, 4, 2, 1, 3, 3, 3, 3, 1]","Sunscreen, Serum","Balanced, Balancing","Panthenol, Niacinamide, Salicylic Acid, Allantoin"
"[2, 2, 4, 4, 2, 1, 4, 1, 3, 1, 2, 1, 1, 3]","Serum, Sunscreen","Pore Care, Soothing","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[4, 1, 2, 1, 1, 1, 4, 2, 4, 4, 3, 4, 3, 4]","Sunscreen, Serum","Balancing, UV Protection","Panthenol, Niacinamide, Allantoin, Glycol"
"[1, 4, 2, 1, 4, 1, 2, 4, 4, 3, 4, 4, 2, 1]","Booster, Sunscreen","Hydrating, Acne Free","Panthenol, Allantoin, Glycerin, Ceramide"
"[1, 4, 2, 1, 4, 4, 4, 4, 2, 3, 4, 1, 1, 4]","Booster, Cleanser","Custom Care, Hydrating","Panthenol, Niacinamide, Salicylic Acid, Glycerin"
"[1, 3, 3, 1, 1, 4, 2, 3, 4, 4, 3, 2, 3, 1]","Sunscreen, Moisturizer","Balanced, Hydrating","Glycerin, Allantoin, Cica, Panthenol"
"[2, 1, 2, 2, 4, 3, 1, 2, 1, 3, 4, 2, 3, 3]","Sunscreen, Cleanser","Pore Care, Protective","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 1, 2, 1, 3]","Sunscreen, Essence","Protective, Custom Care","Panthenol, Allantoin, Niacinamide, Cica"
"[4, 1, 1, 3, 4, 1, 3, 2, 1, 2, 4, 3, 4, 3]","Sunscreen, Serum","Balancing, Protective","Panthenol, Niacinamide, Allantoin, Water"
"[2, 3, 3, 1, 1, 1, 2, 1, 3, 2, 3, 2, 2, 1]","Sunscreen, Cleanser","Balanced, Acne Prevention","Allantoin, Cica, Niacinamide, Panthenol"
"[2, 1, 1, 1, 3, 3, 2, 3, 4, 1, 3, 3, 4, 2]","Sunscreen, Cleanser","Balanced, Pore Care","Niacinamide, Allantoin, Salicylic Acid, Glycerin"
"[3, 2, 4, 4, 3, 3, 1, 4, 1, 3, 3, 4, 2, 2]","Sunscreen, Essence","Protective, Balanced Hydration","Allantoin, Ceramide, Panthenol, Salicylic Acid"
"[2, 4, 2, 2, 1, 3, 4, 1, 4, 4, 2, 4, 3, 2]","Sunscreen, Cleanser","Pore Care, Calming","Allantoin, Niacinamide, Salicylic Acid, Cica"
"[3, 2, 4, 3, 4, 3, 2, 4, 4, 4, 1, 4, 3, 1]","Sunscreen, Essence","Custom Care, Protective","Allantoin, Water, Salicylic Acid, Panthenol"
"[4, 4, 3, 1, 4, 1, 4, 1, 4, 1, 2, 2, 2, 3]","Sunscreen, Booster","UV Protection, Balancing","Panthenol, Allantoin, Cica, Niacinamide"
"[1, 2, 2, 4, 4, 4, 2, 3, 3, 1, 3, 1, 3, 1]","Sunscreen, Moisturizer","Acne Free, Custom Care","Niacinamide, Ceramide, Salicylic Acid, Panthenol"
"[4, 1, 1, 1, 4, 4, 1, 4, 3, 4, 4, 4, 2, 4]","Booster, Serum","Balancing, Custom Care","Panthenol, Glycol, Glycerin, Bakuchiol"
"[4, 4, 2, 3, 2, 2, 2, 4, 2, 2, 4, 2, 2, 3]","Sunscreen, Booster","Balancing, Acne Free","Panthenol, Niacinamide, Salicylic Acid, Glycol"
"[1, 4, 2, 4, 3, 1, 2, 4, 3, 4, 1, 3, 4, 1]","Sunscreen, Moisturizer","Hydrating, Acne Free","Niacinamide, Ceramide, Panthenol, Glycerin"
"[3, 2, 3, 1, 3, 4, 4, 4, 2, 4, 3, 1, 2, 2]","Booster, Sunscreen","Custom Care, Balanced Hydration","Panthenol, Niacinamide, Salicylic Acid, Allantoin"
"[4, 3, 3, 4, 1, 1, 3, 1, 1, 2, 4, 2, 3, 2]","Serum, Sunscreen","Balancing, Balanced","Allantoin, Panthenol, Cica, Ceramide"
"[2, 4, 3, 3, 4, 4, 4, 1, 2, 1, 3, 1, 1, 1]","Cleanser, Sunscreen","Custom Care, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Cica"
"[4, 3, 2, 1, 3, 2, 1, 3, 4, 2, 2, 3, 4, 3]","Sunscreen, Moisturizer","Balanced, Protective","Niacinamide, Allantoin, Panthenol, Glycerin"
